"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"294","Kentucky is ass for real @NerlensNoel3 @J30_RANDLE",FALSE,6260,NA,2016-01-31 02:34:52,FALSE,NA,"693623453522366467",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",5261,FALSE,FALSE,NA,NA
"295","Let's finish this Kansas #RockChalk",FALSE,757,NA,2016-01-31 02:19:24,FALSE,NA,"693619561137094656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",196,FALSE,FALSE,NA,NA
"296","We almost had it #Sixers",FALSE,2064,NA,2016-01-31 00:40:47,FALSE,NA,"693594739963248640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",810,FALSE,FALSE,NA,NA
"297","AARON RODGERS",FALSE,1121,NA,2016-01-17 04:26:10,FALSE,NA,"688578029321334785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",645,FALSE,FALSE,NA,NA
"298","OMG NO WAY",FALSE,975,NA,2016-01-10 21:02:50,FALSE,NA,"686292134203383811",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",454,FALSE,FALSE,NA,NA
"299","We might have something going on here with Zizou as the coach #HalaMadrid",FALSE,423,NA,2016-01-09 20:49:56,FALSE,NA,"685926501976522754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",218,FALSE,FALSE,NA,NA
"300","Kansas with the big time win Ì†ΩÌπåÌ†ºÌøøÌ†ΩÌπåÌ†ºÌøø",FALSE,2286,NA,2016-01-05 05:20:09,FALSE,NA,"684242963338166272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",453,FALSE,FALSE,NA,NA
"301","‚úåÌ†ºÌøøÔ∏è+‚úåÌ†ºÌøøÔ∏è @22wiggins",FALSE,1058,NA,2016-01-05 02:43:58,FALSE,NA,"684203655675822081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",437,FALSE,FALSE,NA,NA
"302","‚úåÌ†ºÌøøÔ∏è+‚òùÌ†ºÌøø Ì†ΩÌπåÌ†ºÌøøÌ†ΩÌπåÌ†ºÌøøÌ†ΩÌπåÌ†ºÌøø #Sixers",FALSE,1687,NA,2015-12-31 05:40:35,FALSE,NA,"682436163832033280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",925,FALSE,FALSE,NA,NA
"303","#shirleytempledidthis https://t.co/F7lHa1GABT",FALSE,2799,NA,2015-12-12 05:24:31,FALSE,NA,"675546752498405376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",1815,FALSE,FALSE,NA,NA
"304","#KOBE #GOAT https://t.co/KT7BiTGH0Z",FALSE,1653,NA,2015-12-04 05:02:26,FALSE,NA,"672642092741599232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",704,FALSE,FALSE,NA,NA
"305","AARON RODGERS",FALSE,916,NA,2015-12-04 04:40:12,FALSE,NA,"672636498018201600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",544,FALSE,FALSE,NA,NA
"306","Ok Madrid really sucks lol #HalaMadrid",FALSE,756,NA,2015-11-21 18:51:32,FALSE,NA,"668139701056970752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",706,FALSE,FALSE,NA,NA
